"Country","Adults (thousands)","mean wealth per adult (USD)","median wealth per adult (USD)","% Adults with less than $10.000","% Adults between $10.000 - 100.000","% Adults between $100.000 - 1.000.000","% Adults over $1.000.000","Gini Index (%)","POPOLAZIONE","Adults with less than $10.000","Adults between $10.000 - 100.000","Adults between $100.000 - 1.000.000","Adults over $1.000.000"
"Ethiopia","57,104","3,540","1,527","94.4","5.4","0.2","0","71.1","57104000","53906176","3083616","114208","0"
"Fiji","564","15,708","5,764","69","28.3","2.6","0.1","77.4","564000","389160","159612","14664","564"
"Finland","4,373","167,711","73,775","27.8","35.2","35.1","1.9","74","4373000","1215694","1539296","1534923","83087"
"France","49,967","299,355","133,559","14.8","27","53.3","4.9","70","49967000","7395116","13491090","26632411","2448383"
"French Caribbean","631","68,443","23,740","36","44","19.5","0.5","73.8","631000","227160","277640","123045","3155"
"Gabon","1,216","13,696","4,685","74","24.5","1.4","0.1","79.3","1216000","899840","297920","17024","1216"
"Gambia","1,115","2,500","658","94.9","4.9","0.2","0","84.9","1115000","1058135","54635","2230","0"
"Georgia","2,959","14,162","4,223","77.7","20.7","1.5","0.1","81.3","2959000","2299143","612513","44385","2959"
"Germany","68,015","268,681","65,374","10.6","45.2","39.8","4.3","77.9","68015000","7209590","30742780","27069970","2924645"
"Ghana","16,617","6,132","2,198","88.5","11.1","0.4","0","77.5","16617000","14706045","1844487","66468","0"
"Greece","8,462","104,603","57,595","22.1","49.3","27.7","0.9","65.7","8462000","1870102","4171766","2343974","76158"
"Guinea","6,078","2,942","938","94.5","5.4","0.2","0","80.8","6078000","5743710","328212","12156","0"
"Guinea-Bissau","949","1,828","670","97","3","0","0","77.6","949000","920530","28470","0","0"
"Guyana","497","12,280","4,637","74","24.6","1.4","0","76.5","497000","367780","122262","6958","0"
"Haiti","6,621","767","193","99.2","0.7","0","0","85.2","6621000","6568032","46347","0","0"
"Hong Kong","6,292","503,335","173,768","13.7","23.7","54.3","8.3","74.6","6292000","862004","1491204","3416556","522236"
"Hungary","7,769","53,664","24,126","21.4","67.6","10.7","0.3","66.5","7769000","1662566","5251844","831283","23307"
"Iceland","255","337,787","231,462","6","18","70.7","5.3","50.9","255000","15300","45900","180285","13515"
"India","900,443","14,252","3,194","77.2","21.1","1.7","0.1","82.3","900443000","695141996","189993473","15307531","900443"
"Indonesia","180,782","17,693","4,693","67.2","30.8","1.9","0.1","77.7","180782000","121485504","55680856","3434858","180782"
"Iran","57,987","22,249","7,621","59.1","37.1","3.7","0.1","78.6","57987000","34270317","21513177","2145519","57987"
"Iraq","21,247","14,506","6,378","68.3","30.1","1.6","0.1","71","21247000","14511701","6395347","339952","21247"
"Ireland","3,619","266,153","99,028","30.8","19.7","44.5","5","80","3619000","1114652","712943","1610455","180950"
"Israel","5,626","228,268","80,315","15.8","41.2","40.1","2.9","73.4","5626000","888908","2317912","2256026","163154"
"Italy","49,746","239,244","118,885","15.5","30.1","51.4","3","66.5","49746000","7710630","14973546","25569444","1492380"
"Jamaica","2,041","19,893","5,976","66.7","30.3","2.9","0.1","82","2041000","1361347","618423","59189","2041"
"Japan","104,953","256,596","122,980","11","32.6","52.9","3.5","64.4","104953000","11544830","34214678","55520137","3673355"
"Jordan","5,866","28,316","10,842","48.3","47.1","4.5","0.2","75.9","5866000","2833278","2762886","263970","11732"
"Kazakhstan","12,226","33,463","12,029","46.3","49.3","4.2","0.2","76.4","12226000","5660638","6027418","513492","24452"
"Kenya","27,473","12,313","3,683","79.6","18.8","1.5","0.1","82.2","27473000","21868508","5164924","412095","27473"
"Korea","42,490","211,369","89,671","14.8","38.3","44.4","2.5","67.6","42490000","6288520","16273670","18865560","1062250"
"Kuwait","3,146","129,890","28,698","42.8","44","10.7","2.5","86.5","3146000","1346488","1384240","336622","78650"
"Kyrgyzstan","3,927","5,816","2,238","89.7","9.8","0.5","0","75.7","3927000","3522519","384846","19635","0"
"Laos","4,288","7,379","1,610","91.6","7","1.3","0","87.9","4288000","3927808","300160","55744","0"
"Latvia","1,477","70,454","33,884","36","50.5","12.7","0.8","80.9","1477000","531720","745885","187579","11816"
"Lebanon","4,548","55,007","18,159","40.6","50.5","8.4","0.5","79.7","4548000","1846488","2296740","382032","22740"
"Lesotho","1,243","1,226","264","97.8","2.2","0.1","0","88.6","1243000","1215654","27346","1243","0"
"Liberia","2,502","4,453","1,464","91.9","7.8","0.3","0","80.1","2502000","2299338","195156","7506","0"
